Reviewer,Contributions,Score,Review Text,Date
ab,ab,1.0,Held up by security thugs,2023-12-01
Daflee,Daflee,4.0,Paris metro,2023-11-01
United S,United S,1.0,Robbed by 3 guys,2023-11-01
Leoncita87,Leoncita87,1.0,Don’t rely on metro service people. They don’t help but get you in trouble.,2023-11-01
carol y,carol y,1.0,Do not pay the RATP fine,2023-10-01
Priya B,Priya B,1.0,Ticket not validated properly and fine,2023-11-01
C L,C L,3.0,Pickpocket and fake help,2023-11-01
Rob R,Rob R,4.0,Cheap and efficient way to get around Paris,2023-11-01
Laura P,Laura P,1.0,People false metro Paris robbed me,2023-11-01
CKD,CKD,3.0,Cheap travel in Paris,2023-10-01
Nikki B,Nikki B,3.0,Ok experience,2023-11-01
Nic,Nic,1.0,Frightening Situation,2023-11-01
Brett B,Brett B,2.0,Paris Metro thieves,2023-10-01
fred s,fred s,1.0,Beware: Paris Metro Scam targeting tourists,2023-09-01
Chris,Chris,3.0,Metro system is easy to navigate but needs improvement,2023-10-01
David Z,David Z,1.0,"Rugby World Cup mayhem, Olympics will be worse!!",2023-10-01
Christina Q,Christina Q,1.0,"Unjust Fee of 70 Euros, Potential Discrimination",2023-10-01
Guide52466135109,Guide52466135109,2.0,Inconvenience in metro,2023-09-01
didaUK,didaUK,4.0,Easy to use.,2023-10-01
Rachael D,Rachael D,2.0,PICK POCKETS,2023-10-01
Relax813280,Relax813280,3.0,Paris Metro not for the faint hearted.,2023-10-01
mark p,mark p,3.0,Be aware!,2023-10-01
Natalie D,Natalie D,2.0,Aggressive,2023-10-01
Andrea D,Andrea D,5.0,Ticket office went above and beyond,2023-09-01
Travel793607,Travel793607,3.0,Be wary of turnstyles,2023-07-01
Gino DC,Gino DC,1.0,"Horrible, traumatic, beware",2022-10-01
Stu E,Stu E,1.0,Trestle unfairly by metro Paris,2023-09-01
SeeTheW0rld62,SeeTheW0rld62,4.0,Great system!,2023-09-01
JmW1973,JmW1973,1.0,Be careful of train workers help!!,2023-08-01
Isabel Keogh,Isabel Keogh,1.0,Odd,2023-07-01
Travel ETC,Travel ETC,2.0,Beware Paris Metro and fine print!!,2023-08-01
Chris D,Chris D,1.0,WORST EXPERIENCE EVER AND PARIS SUCKS,2023-08-01
duomo2,duomo2,4.0,Easy to navigate,2023-07-01
Craig S,Craig S,4.0,Don't get the 5 day pass for Paris Metro,2023-08-01
Shilpa l,Shilpa l,1.0,tourism scam be careful,2023-08-01
Ray W,Ray W,3.0,Beware Scammers,2023-08-01
Janice_travels_lush,Janice_travels_lush,4.0,Great Way to See Paris,2023-05-01
Stephanie T,Stephanie T,1.0,Terrible staff,2023-07-01
RATP is Scam Paris,RATP is Scam Paris,1.0,Paris RATP Scam Warning!,2023-07-01
monion,monion,1.0,Watch out for unfair fines,2023-07-01
Xavier M,Xavier M,1.0,Paris Metro tourist scam,2023-07-01
Ade,Ade,4.0,Better than the London Underground,2023-07-01
happycafeholic,happycafeholic,2.0,"Time and again, beware of pickpockets..",2023-05-01
MJ,MJ,4.0,The Metro is fine!,2023-06-01
Jet49508877927,Jet49508877927,3.0,Outdated payment system,2023-06-01
Traveler578299,Traveler578299,1.0,A scam Champ de Mars/Tour Eiffel,2023-06-01
traveller9_10,traveller9_10,2.0,Ticket inspectors - Invalid ticket !!!!,2023-06-01
Howard-Liverpool,Howard-Liverpool,4.0,Brilliant fast System,2023-06-01
Mike B,Mike B,1.0,Paris Metro Thieves and Pick Pockets,2023-05-01
Maria F,Maria F,1.0,"Paris metro is a mess, BEWARE,",2023-05-01
Go hard and then go Home,Go hard and then go Home,4.0,CDG airport to Gard du Nord station in Paris is only 2.1 euro,2023-05-01
Trevina Beer,Trevina Beer,3.0,Cheaper Mobilis Tickets WATCH OUT,2023-05-01
Jimberly Michel W,Jimberly Michel W,1.0,Paris Metro Scam with Thugs,2023-05-01
Neil K,Neil K,5.0,Great transport system but be aware,2023-05-01
Phim B,Phim B,3.0,Be careful when in Paris’ public transport!,2023-04-01
Ruby Red,Ruby Red,4.0,We Like the Paris Metro,2023-04-01
seanoseano,seanoseano,4.0,"Nuisances aside, great way to get around Paris",2023-03-01
Tony S,Tony S,2.0,Awful experience,2023-04-01
Jack,Jack,2.0,Don't Use Metro,2022-05-01
Emma A,Emma A,1.0,Watch out for Pickpockets !! We had a really scary experience,2023-04-01
audcar,audcar,4.0,Decently Nice,2023-04-01
UserJNJ,UserJNJ,1.0,Paris metro running extortion scam,2023-04-01
Jo M,Jo M,1.0,Violence on Overcrowded Public Transport in Paris,2023-02-01
Exploration482909,Exploration482909,1.0,The metro is confusing and poorly organised for tourists.,2023-03-01
Retired M,Retired M,2.0,Not worth your time,2023-03-01
Denise B,Denise B,1.0,City uses malfunctioning turnstiles to fill their pockets,2023-02-01
Independence14,Independence14,1.0,Warning ⚠️ Paris Metro Fines,2023-03-01
blkdoggy421,blkdoggy421,3.0,All in all good mode of transportation,2023-02-01
1920s girl,1920s girl,5.0,I'm sure it's easy once you know how,2023-02-01
GK383,GK383,1.0,Worst ticketing system,2023-02-01
IndyKenn,IndyKenn,3.0,PICKPOCKET IN PARIS,2022-09-01
Jamie and Chris... D,Jamie and Chris... D,1.0,Paris Metro inspectors BEWARE,2022-12-01
PAUL K,PAUL K,3.0,Always validate your ticket !!!!,2023-01-01
Ade,Ade,5.0,Superb,2023-01-01
maria v,maria v,4.0,Pretty good for such a big city,2023-01-01
Lilly K,Lilly K,1.0,Extremely rude employees-If you are a tourist be careful,2022-12-01
Alexander N,Alexander N,1.0,"Ultimately, our trip was spoiled by such disgusting behaviour of Paris metro service employees. We thought we would shar",2022-11-01
holidayplanner027,holidayplanner027,1.0,Scary!!,2022-11-01
therichastill,therichastill,5.0,Speak As You Find,2022-11-01
Esra,Esra,1.0,"Theft , pickpocket at Paris Metro",2022-11-01
Terry M,Terry M,4.0,EFFICIENT SYSTEM BY AND LARGE,2022-11-01
Climber418848,Climber418848,3.0,Taking time at the start will save you a lot of grief,2022-10-01
Gordon,Gordon,1.0,Total BS 'official' scam - Paris should be ashamed,2022-10-01
David P,David P,1.0,"Terrible customer service, useless for families with prams.",2022-10-01
Eaton_Out,Eaton_Out,4.0,Metro a great way to get around,2022-10-01
Ombretta S,Ombretta S,1.0,Terrible experience: I got a fine that I did not deserve,2022-10-01
Savvytraveler60,Savvytraveler60,1.0,Horrible Extortion on the Paris Metro,2022-10-01
helena h,helena h,5.0,Amazing Metro 🚇,2022-10-01
elsie C.,elsie C.,1.0,"Horrible, rude Metro Ticket Checking Agent",2022-10-01
Johnny M,Johnny M,1.0,TOURISTS BEWARE: they’ll fine you for nothing,2022-10-01
tom d,tom d,1.0,Inherently errors in Metro ticketing produce more fines,2022-09-01
babetteteresab,babetteteresab,1.0,CAUTION: AVOID Paris and it's Metro,2022-10-01
JKov674bud,JKov674bud,1.0,Terrible and also horrible,2022-10-01
Tara F,Tara F,1.0,"Stairs everywhere, dated & dirty",2022-10-01
Warren F,Warren F,3.0,Poor experience with the metro,2022-09-01
N_Tatyana,N_Tatyana,1.0,True story horror: Paris Metro,2022-09-01
Debbie3265,Debbie3265,1.0,Metro official tourist scam,2022-09-01
Yumi M,Yumi M,1.0,Stop taking advantage of tourists,2022-09-01
cbphoto23,cbphoto23,5.0,Paris Metro Rocks,2022-08-01
paul b,paul b,2.0,Nothing works,2022-09-01
Victoria R,Victoria R,5.0,"So easy to use , recommend",2022-08-01
GoPlaces536040,GoPlaces536040,1.0,AGGRESSIVE PICKPOCKETS ON METRO,2022-08-01
patwong03,patwong03,1.0,Scammed out of 35 Euros,2022-08-01
Ines v,Ines v,1.0,Very disappointed,2022-08-01
barney,barney,1.0,tickets stop working,2022-07-01
nina,nina,1.0,Metro fines,2022-07-01
My views,My views,1.0,Sadly an disappointing and horrible experience,2022-07-01
Munchkin7208,Munchkin7208,1.0,"Ticket Barriers are unreliable, but you will pay the price.",2022-07-01
Thomas V,Thomas V,5.0,Beloved Public Transit,2022-05-01
WheatyTweety,WheatyTweety,2.0,"Metro is ok, customer service is awful",2022-07-01
wingate,wingate,3.0,Not good for older people,2022-06-01
Milan,Milan,1.0,Paris Metro - SHAME of France and the French people,2022-06-01
Andrew,Andrew,2.0,The multi-day pass is a scam!,2022-06-01
Jeevesette,Jeevesette,4.0,A word of warning for families...,2022-06-01
Ruby Red,Ruby Red,5.0,Great Means of Transportation,2022-05-01
lee h,lee h,4.0,Not a safe way to travel.,2021-07-01
Timoteo99,Timoteo99,4.0,Pickpocketed on the Paris Metro: BEWARE!,2022-05-01
Amanda B,Amanda B,1.0,Paris metro SCAMMERS. Beware!,2022-06-01
Emily M,Emily M,3.0,Bad experience with ticket control,2022-06-01
ClintG1,ClintG1,5.0,Easy system to use,2022-05-01
Jemma J,Jemma J,1.0,BEWARE OF SCAMMERS IN THE METRO - Paris Tourists,2022-05-01
monkeylvr,monkeylvr,4.0,Efficient Metro System,2022-05-01
Ruth G,Ruth G,1.0,Beware,2022-05-01
MLourson,MLourson,4.0,It's a metro---but with a little personnality,2021-12-01
FinanceGirl T,FinanceGirl T,1.0,Antiquated Process Without Common Sense !,2022-04-01
malc1005,malc1005,4.0,Great way to get around,2022-03-01
Hector G,Hector G,1.0,Horrible experience,2022-04-01
Kati M,Kati M,3.0,Good metro,2022-03-01
TheShis,TheShis,3.0,A good MTR.,2022-03-01
Locutus,Locutus,4.0,One of the best,2022-02-01
moncoer,moncoer,2.0,Great if it’s working,2021-12-01
Maria C,Maria C,1.0,Unkind inspectors charging tourists,2021-11-01
Chris,Chris,1.0,Most terrible experience ever in a metro,2021-10-01
R F,R F,1.0,Be extremely careful . police at tourist exits looking for name/ picture attached. Charging Americans 35 Euro,2021-09-01
Greg,Greg,4.0,Easily navigated and connected,2021-09-01
