Reviewer,Contributions,Score,Review Text,Date
Conor,Conor,1.0,The usual horrible service,2023-12-01
Geraldine G,Geraldine G,3.0,Great Service from Dublin to Newry Train,2023-12-01
NoelAndKate,NoelAndKate,1.0,Frustrations with Seat Reservation System,2023-11-01
Global64280385255,Global64280385255,1.0,Idiots somehow manage to constantly delay the dart,2023-11-01
PatriciaB7247,PatriciaB7247,3.0,Not Professional,2023-11-01
Mark Farrell,Mark Farrell,4.0,"Not perfect, but better than most",2023-10-01
Francis W,Francis W,1.0,InterCity is horrible; avoid,2023-10-01
Si Noon,Si Noon,5.0,Brilliant staff at An Cobh Heritage line to Cork (from Cruise Terminal) and return journey.,2023-10-01
Lolaisqueen,Lolaisqueen,5.0,Helpful staff,2023-10-01
Arlene K,Arlene K,5.0,A great way to travel,2023-10-01
Chris M,Chris M,3.0,Used profelactic 🤢🤢🤮,2023-10-01
Ni,Ni,1.0,"Expensive, outdated, 90s flashback",2023-09-01
Roberta R,Roberta R,3.0,Combination of trains and buses,2023-10-01
Sandra,Sandra,5.0,Excellent service,2023-10-01
GoPlaces423080,GoPlaces423080,5.0,Railtours Ireland’s Emerald Pullman…a life experience not to be missed!,2023-09-01
RoamingWolfe2017,RoamingWolfe2017,5.0,Great Value,2023-09-01
Phil I,Phil I,5.0,Excellent way to travel in Ireland!,2023-09-01
Kevin O Leary,Kevin O Leary,5.0,Excellent Customer Service,2023-09-01
Poul N,Poul N,5.0,See the Irish landscape from the train,2023-08-01
Stefan G,Stefan G,1.0,Such a bad service,2023-08-01
Simon M,Simon M,1.0,Terrible,2023-08-01
Diane P,Diane P,1.0,Standing room only on a 2-1/2 hr trip!,2023-07-01
marymce,marymce,5.0,Great customer service,2023-08-01
Steven W,Steven W,1.0,Uncomfortable.,2023-08-01
Maz C,Maz C,5.0,Overall good experience,2023-08-01
Janice A,Janice A,5.0,Train adventure with bikes!!,2023-08-01
Jose P,Jose P,1.0,Useless booking system,2023-08-01
nzfmcg,nzfmcg,2.0,Irish Rail: You have the technology so USE IT.,2023-07-01
Jay F,Jay F,1.0,Keep creeps off the trains and stop packing so much people on,2023-07-01
Unimpressed tbh,Unimpressed tbh,2.0,I don’t like society hun,2023-07-01
Michael O,Michael O,1.0,Racial Abuse and Aggressive Behavior,2023-07-01
