Reviewer,Contributions,Score,Review Text,Date
BlahBloggs,BlahBloggs,4.0,2 Euros a journey. Mostly reliable.,2023-12-01
Go38928972699,Go38928972699,1.0,Talinja nightmare,2023-12-01
Denise G,Denise G,5.0,Efficient way to get around,2023-12-01
Peter England,Peter England,4.0,Low cost bus travel,2023-11-01
Panos K,Panos K,1.0,A bad joke,2023-11-01
Greatblackhawk,Greatblackhawk,4.0,Surprised by some suboptimal reviews,2023-11-01
Justas U,Justas U,1.0,Terrible timing. Never on time,2023-11-01
Annamarie K,Annamarie K,3.0,I wish that the amount of passengers standing should be between 15 an 20 even a bit less,2023-09-01
scampi1903,scampi1903,4.0,Cheap plentiful travel,2023-10-01
Richard Smith,Richard Smith,5.0,Public transport that runs on time,2023-10-01
Clive T,Clive T,3.0,Good albeit slow bus service,2023-10-01
Maciek P,Maciek P,3.0,The best I can say about MPT is that it is good it exists,2023-10-01
Martina M,Martina M,1.0,Was waiting for the bus and didn’t stop the driver kept going,2023-10-01
Kip P,Kip P,2.0,Just use credit card and be prepared to wait a lot.,2023-10-01
Passport766848,Passport766848,3.0,Other transport options for tourists,2023-10-01
MrGerbil,MrGerbil,1.0,Worst bus service I have ever seen in a rich country,2023-10-01
Ginny T,Ginny T,3.0,Ehhhhh....pros and cons,2023-10-01
Butanescu R,Butanescu R,1.0,Worst transport ever AVOID!!!!,2023-09-01
Tom G (travel man),Tom G (travel man),5.0,Public transport Malta,2023-09-01
ann m,ann m,5.0,Good way to travel,2023-04-01
Go38928972699,Go38928972699,5.0,Finally a nice person and professional driver,2023-08-01
simon_orr,simon_orr,5.0,Excellent Bus Service..,2023-08-01
GrandTour60640494616,GrandTour60640494616,1.0,What's the point of having schedules if buses don't show up?,2023-08-01
Alexis A,Alexis A,1.0,Worst public transport in Europe,2023-08-01
Simon B,Simon B,2.0,Great when it works,2023-07-01
Tsonio T,Tsonio T,1.0,Terrible transport!,2023-08-01
Minesh P,Minesh P,1.0,Rubbish bus service,2023-07-01
riccardo v,riccardo v,1.0,A real SHAME,2023-07-01
Pakler,Pakler,1.0,Complete joke,2023-07-01
Cez,Cez,1.0,Never going to visit Malta again. Dirty and ugly place,2023-07-01
milan89,milan89,1.0,Worst experience,2023-07-01
kateandchrislong,kateandchrislong,5.0,"Excellent Bus service,",2023-07-01
Zsolt M,Zsolt M,1.0,Horrible experience,2023-07-01
slobodan k,slobodan k,1.0,Tallinja bus service-Malta,2023-07-01
Eria S,Eria S,5.0,Reliable and friendly drivers!,2023-07-01
Jessie,Jessie,1.0,What a crap service. Bus 51,2023-07-01
Sabrina,Sabrina,2.0,Poor timetable buses,2023-07-01
Joseph P,Joseph P,4.0,Cheap but timetables are useless,2023-05-01
Radu F,Radu F,3.0,Worth to try.,2023-06-01
ElsieF499,ElsieF499,4.0,"Good bus service, research travel cards to get best value",2023-05-01
Chris,Chris,1.0,Buses that ignore passengers,2023-05-01
Linda,Linda,5.0,Bus v car hire,2023-05-01
Sharon N,Sharon N,4.0,Bus service,2023-05-01
ann m,ann m,5.0,Bus experience,2023-05-01
Pat Cronin,Pat Cronin,5.0,"Impressive, Island wide transportation",2023-04-01
Zoltán F,Zoltán F,1.0,"Turismo Terroristico In Full season I don't know how can they transport many tourist, because in April is catastrophic",2023-04-01
Sofia M,Sofia M,2.0,Very bas experience with Malta buses,2023-04-01
Tsonio T,Tsonio T,1.0,Can be compared with the transport in India,2023-03-01
mandybL4984JM,mandybL4984JM,4.0,Great way to get around,2023-03-01
traveller,traveller,5.0,Excellent way to get around,2023-03-01
hazban,hazban,4.0,"Good system, but can be busy.",2023-03-01
IWONA W,IWONA W,1.0,Hot&could,2023-03-01
Angie R,Angie R,2.0,Helpfulness for wheelchairs,2023-03-01
Reiblein,Reiblein,4.0,Weekly bus tickets,2023-02-01
Tas G,Tas G,4.0,Very good and Organised public transportation!!,2023-02-01
Ana S,Ana S,1.0,What a joke,2023-02-01
guitarman555,guitarman555,3.0,Bus Drivers the world over!,2023-02-01
Eric L,Eric L,4.0,Great value buses,2023-02-01
Daniel G,Daniel G,3.0,chaotic,2022-12-01
Jagoda L,Jagoda L,2.0,Too small country 4 too many people,2022-10-01
16jamesdoc,16jamesdoc,5.0,On the 323,2022-12-01
Nicky H,Nicky H,2.0,Not a good experience,2022-12-01
David H,David H,5.0,Cheap and efficient way to travel,2022-11-01
Ann J,Ann J,1.0,Beware of over zealous ticket inspectors!,2022-11-01
Ann C,Ann C,4.0,Malta Public Transport,2022-11-01
Sylvia,Sylvia,5.0,very much to see on such a small island,2022-11-01
Vic Land,Vic Land,5.0,Overall good experience,2022-10-01
Joy Black,Joy Black,5.0,Cheap and efficient,2022-10-01
HolidaymakerfromHove,HolidaymakerfromHove,5.0,Very efficient……..,2022-10-01
Jeremy S,Jeremy S,5.0,Holiday transport from airport,2022-10-01
Andrea V,Andrea V,1.0,Bus no stop,2022-10-01
MELD_10,MELD_10,5.0,Very simple,2022-10-01
Steve B,Steve B,3.0,A rather frustrating experience,2022-09-01
Martin,Martin,1.0,"Total desaster, extremely frustrating",2022-09-01
Alexandre Piol,Alexandre Piol,1.0,Gozo Bus - corruption scheme,2022-09-01
Jelena Z,Jelena Z,1.0,1 couse the 0 is not an option,2022-09-01
funlver007,funlver007,5.0,Amazing Valetta,2022-09-01
Michael W,Michael W,4.0,A Great Way ti Get Around with Helpful Drivers,2022-08-01
Phil,Phil,1.0,the most impolite bus drivers in the world,2022-09-01
Sofroni D,Sofroni D,1.0,Malta transport is a joke,2022-08-01
