Reviewer,Contributions,Score,Review Text,Date
TravelTommy,TravelTommy,1.0,Worst public transport system I ever see.,2023-04-01
srecno_pot,srecno_pot,2.0,75 % not on time,2022-07-01
Stephen B,Stephen B,1.0,Unreliable,2022-07-01
Aleksandar,Aleksandar,4.0,Clean and on time,2019-10-01
Kapetano,Kapetano,2.0,Buses are clean but slow and rare,2019-02-01
Aleksandar,Aleksandar,4.0,Useful,2018-09-01
Bluesdude-SG,Bluesdude-SG,4.0,Decent public transport service,2018-07-01
Miha P,Miha P,3.0,Useful,2018-06-01
pinguin89,pinguin89,2.0,"Foreign cards not accepted by ""Urbanomats""",2018-04-01
drjamtravels,drjamtravels,5.0,Public transporrt,2018-01-01
