Category,Year,Passenger Car Traffic,Bus and Motor Coach Traffic,"Total Van, Pickup, Lorry and Road Tractor Traffic"
Austria,2016,0.930971061677238,0.013920629434365004,0.15381758127990972
Austria,2017,0.9302805920495407,0.014068970384611046,0.15470840519863485
Austria,2018,0.9246161856898547,0.013322911453886121,0.16294082488489317
Austria,2019,0.9170824273510652,0.013472670736644285,0.17335231001407544
Austria,2020,0.9091875612790707,0.010596446959514933,0.18571295932747026
Austria,2021,0.901176728949223,0.010573299070927277,0.19684781267961818
Belarus,2016,0.012938472634706391,1.0,0.9667725676330987
Belarus,2017,0.0,0.985213844832536,0.9917370704583619
Belarus,2018,0.006536709838978173,0.9483526731574883,1.0
Belarus,2019,0.0780611233207545,0.8289317154161034,0.9577504371721208
Belarus,2020,0.11375123002018764,0.7979069642736774,0.9227741589929439
Belarus,2021,0.16001711318367734,0.7213491458735541,0.8933514435032011
Croatia,2016,0.9948381299770689,0.04048600633313176,0.05244741253923582
Croatia,2017,0.9853533088908525,0.04100704512423479,0.06539865254290464
Croatia,2018,0.9754659431395111,0.03958915317509642,0.07982299912996288
Croatia,2019,0.9661097360347866,0.03938551460228692,0.09293653979240912
Croatia,2020,0.953637169976808,0.02913111724621377,0.1151188315335073
Croatia,2021,0.949762300574697,0.02795319017885243,0.12106476416943437
Denmark,2016,0.8909088573981573,0.035585207941318704,0.19938793140214214
Denmark,2017,0.8916673332543908,0.03627726789484211,0.19797475419357893
Denmark,2018,0.8953467577928057,0.035365243076238194,0.19328489722111356
Denmark,2019,0.9007216246139769,0.034155623831215294,0.18637624203370404
Denmark,2020,0.8941884538939141,0.032799213087576766,0.19610481776640834
Denmark,2021,0.89280229971046,0.03498946159415455,0.19700205222223907
Estonia,2016,0.9333164616316568,0.06030611191348171,0.12871169236478194
Estonia,2017,0.9179526303151513,0.06774139956187417,0.14658674581959782
Estonia,2018,0.890356823299569,0.06425492132880192,0.18662360827440636
Estonia,2019,0.8997839235225517,0.05758143429428037,0.17678684665453723
Estonia,2020,0.9201441771620177,0.05814758827252,0.1479131722636594
Estonia,2021,0.9075873858382519,0.06079585981768967,0.16427891939429443
Finland,2016,0.8951406357163045,0.03180431834528264,0.19524850075216585
Finland,2017,0.8921929782182596,0.031007541919401492,0.19972488649178913
Finland,2018,0.8907660089209761,0.029760592296626025,0.202297464472911
Finland,2019,0.8910023887774046,0.028958560425072742,0.202305036241082
Finland,2020,0.8839999024244353,0.026612391735101715,0.21319387568661582
Finland,2021,0.8801698680350349,0.02206961776718492,0.22066191379583858
France,2016,0.8908819730616897,0.011773905145127073,0.21060594178264544
France,2017,0.8886243881426243,0.011643736118939802,0.21381091594945054
France,2018,0.8847503449846331,0.011835234701377881,0.2191082305229836
France,2019,0.8825300924634047,0.011833215739212017,0.222198303418115
France,2020,0.868407217498948,0.009157968344621464,0.2431077569365855
France,2021,0.8729298964583364,0.00885365421291137,0.23695848056154414
Germany,2016,0.9629881940577614,0.008723367653717508,0.11171828075975226
Germany,2017,0.9727016340864738,0.014093908876670306,0.09567464493983174
Germany,2018,0.9702009031818938,0.01406070528423912,0.09925594206428004
Germany,2019,0.9691874308681645,0.013954360038993191,0.10062980287719991
Germany,2020,0.9620947092543614,0.007624964677345348,0.11324093214266798
Germany,2021,0.9569628059438767,0.00744137128057203,0.12094005624433196
Hungary,2016,0.7875033673504125,0.0514097816096797,0.3357762509318132
Hungary,2017,0.7904952834757522,0.05030956842290254,0.3321315674562183
Hungary,2018,0.7926921779265403,0.04895634491308317,0.32974822454587627
Hungary,2019,0.7980738177035234,0.04729705527431884,0.32304063368547953
Hungary,2020,0.7928923709888214,0.04595134565880462,0.33084866884754716
Hungary,2021,0.7912722915273982,0.0427029364294513,0.3346324036540227
Ireland,2016,0.891712977783443,0.01677225114404734,0.2070960421300049
Ireland,2017,0.8865550122065161,0.01856319616469468,0.2134291715210279
Ireland,2018,0.8796131460020631,0.021027259230752764,0.22192734279194495
Ireland,2019,0.8758419932494339,0.021747627443519095,0.2268350746755565
Ireland,2020,0.8345391315093709,0.018825419831935787,0.2856773745357696
Ireland,2021,0.8312060549707976,0.014441903311132894,0.2923789828236023
Latvia,2016,0.8480910282152109,0.050191111278861146,0.2520521875793401
Latvia,2017,0.852802320391372,0.04659750866845692,0.24718939256212638
Latvia,2018,0.8534876013168581,0.04422951338676203,0.24746324568086356
Latvia,2019,0.8565709569462324,0.0414822840806207,0.24435467295849186
Latvia,2020,0.8455257177606255,0.03371401719174273,0.2634952109867361
Latvia,2021,0.829826980429281,0.03590312822970953,0.28419178037506676
Lithuania,2016,0.8537800836381393,0.02569615181196614,0.2556713162523584
Lithuania,2017,0.8613637524078859,0.025312694646770474,0.2453004357586314
Lithuania,2018,0.8634589108117361,0.02522598906798563,0.24242619094135012
Lithuania,2019,0.8627869494235154,0.026102773708031782,0.24294824389292627
Lithuania,2020,0.8604709044416347,0.02125021500813172,0.248455686448073
Lithuania,2021,0.8541890806250895,0.02038286715379157,0.2576042568598236
Malta,2016,0.8855380975089201,0.07228543398669011,0.1895465655660216
Malta,2017,0.8956535086116516,0.06837808877698648,0.177312552872486
Malta,2018,0.9035236733329319,0.07884234741635188,0.16143493557396252
Malta,2019,0.8561055923187901,0.08061960091378198,0.22606316156254572
Malta,2020,0.8681819933954418,0.08293643329043093,0.2086792850453674
Malta,2021,0.8925753056143242,0.06288305371782199,0.18362507922704538
Moldova,2016,0.3488321933623948,0.8291742520784028,0.5798716139218004
Moldova,2017,0.378017439683619,0.6972510769025981,0.6013868940726217
Moldova,2018,0.3591792581391474,0.6880295420128627,0.6319395411824009
Moldova,2019,0.35623395687835524,0.6828234040293707,0.6384889904000571
Moldova,2020,0.37890628594246745,0.5026986256553135,0.69176378585626
Moldova,2021,0.3820576708976168,0.497028543933132,0.6900491508738863
Monaco,2016,0.979304642884116,0.14656684264821895,0.0
Monaco,2017,0.979304642884116,0.14656684264821895,0.024106919810142402
Monaco,2018,0.9771721595779242,0.14892964005470832,0.001483502757547231
Monaco,2019,0.9771721595779242,0.14892964005470832,0.001483502757547231
Monaco,2020,0.9822413254032359,0.1647884158677557,0.011440572113287917
Monaco,2021,0.9888062318088816,0.1564753479012389,0.0062211405961657695
Netherlands,2016,0.9018831298398997,0.00853113101986518,0.19681463346181768
