Category,Date,Review Text,Score,Year,New Score
France,2023-12-01,Held up by security thugs,1.0,2023,0
France,2023-11-01,Paris metro,5.0,2023,2
France,2023-11-01,Robbed by 3 guys,1.0,2023,0
France,2023-11-01,Don’t rely on metro service people. They don’t help but get you in trouble.,1.0,2023,0
France,2023-10-01,Do not pay the RATP fine,1.0,2023,0
France,2023-11-01,Ticket not validated properly and fine,1.0,2023,0
France,2023-11-01,Pickpocket and fake help,3.0,2023,0
France,2023-11-01,Cheap and efficient way to get around Paris,5.0,2023,2
France,2023-11-01,People false metro Paris robbed me,1.0,2023,0
France,2023-10-01,Cheap travel in Paris,3.0,2023,2
France,2023-11-01,Ok experience,3.0,2023,0
France,2023-11-01,Frightening Situation,1.0,2023,0
France,2023-10-01,Paris Metro thieves,1.0,2023,0
France,2023-09-01,Beware: Paris Metro Scam targeting tourists,1.0,2023,0
France,2023-10-01,Metro system is easy to navigate but needs improvement,3.0,2023,2
France,2023-10-01,"Rugby World Cup mayhem, Olympics will be worse!!",1.0,2023,0
France,2023-10-01,"Unjust Fee of 70 Euros, Potential Discrimination",1.0,2023,0
France,2023-09-01,Inconvenience in metro,1.0,2023,2
France,2023-10-01,Easy to use.,5.0,2023,2
France,2023-10-01,PICK POCKETS,1.0,2023,0
France,2023-10-01,Paris Metro not for the faint hearted.,3.0,2023,2
France,2023-10-01,Be aware!,3.0,2023,2
France,2023-10-01,Aggressive,1.0,2023,0
France,2023-09-01,Ticket office went above and beyond,5.0,2023,2
France,2023-07-01,Be wary of turnstyles,3.0,2023,1
France,2022-10-01,"Horrible, traumatic, beware",1.0,2022,0
France,2023-09-01,Trestle unfairly by metro Paris,1.0,2023,2
France,2023-09-01,Great system!,5.0,2023,2
France,2023-08-01,Be careful of train workers help!!,1.0,2023,0
France,2023-07-01,Odd,1.0,2023,2
France,2023-08-01,Beware Paris Metro and fine print!!,1.0,2023,0
France,2023-08-01,WORST EXPERIENCE EVER AND PARIS SUCKS,1.0,2023,0
France,2023-07-01,Easy to navigate,5.0,2023,2
France,2023-08-01,Don't get the 5 day pass for Paris Metro,5.0,2023,2
France,2023-08-01,tourism scam be careful,1.0,2023,0
France,2023-08-01,Beware Scammers,3.0,2023,0
France,2023-05-01,Great Way to See Paris,5.0,2023,2
France,2023-07-01,Terrible staff,1.0,2023,0
France,2023-07-01,Paris RATP Scam Warning!,1.0,2023,0
France,2023-07-01,Watch out for unfair fines,1.0,2023,0
France,2023-07-01,Paris Metro tourist scam,1.0,2023,0
France,2023-07-01,Better than the London Underground,5.0,2023,2
France,2023-05-01,"Time and again, beware of pickpockets..",1.0,2023,0
France,2023-06-01,The Metro is fine!,5.0,2023,0
France,2023-06-01,Outdated payment system,3.0,2023,1
France,2023-06-01,A scam Champ de Mars/Tour Eiffel,1.0,2023,0
France,2023-06-01,Ticket inspectors - Invalid ticket !!!!,1.0,2023,0
France,2023-06-01,Brilliant fast System,5.0,2023,2
France,2023-05-01,Paris Metro Thieves and Pick Pockets,1.0,2023,0
France,2023-05-01,"Paris metro is a mess, BEWARE,",1.0,2023,0
France,2023-05-01,CDG airport to Gard du Nord station in Paris is only 2.1 euro,5.0,2023,2
France,2023-05-01,Cheaper Mobilis Tickets WATCH OUT,3.0,2023,2
France,2023-05-01,Paris Metro Scam with Thugs,1.0,2023,0
France,2023-05-01,Great transport system but be aware,5.0,2023,2
France,2023-04-01,Be careful when in Paris’ public transport!,3.0,2023,2
France,2023-04-01,We Like the Paris Metro,5.0,2023,2
France,2023-03-01,"Nuisances aside, great way to get around Paris",5.0,2023,2
France,2023-04-01,Awful experience,1.0,2023,0
France,2022-05-01,Don't Use Metro,1.0,2022,2
France,2023-04-01,Watch out for Pickpockets !! We had a really scary experience,1.0,2023,0
France,2023-04-01,Decently Nice,5.0,2023,2
France,2023-04-01,Paris metro running extortion scam,1.0,2023,0
France,2023-02-01,Violence on Overcrowded Public Transport in Paris,1.0,2023,2
France,2023-03-01,The metro is confusing and poorly organised for tourists.,1.0,2023,0
France,2023-03-01,Not worth your time,1.0,2023,2
France,2023-02-01,City uses malfunctioning turnstiles to fill their pockets,1.0,2023,0
France,2023-03-01,Warning ⚠️ Paris Metro Fines,1.0,2023,0
France,2023-02-01,All in all good mode of transportation,3.0,2023,2
France,2023-02-01,I'm sure it's easy once you know how,5.0,2023,2
France,2023-02-01,Worst ticketing system,1.0,2023,0
France,2022-09-01,PICKPOCKET IN PARIS,3.0,2022,2
France,2022-12-01,Paris Metro inspectors BEWARE,1.0,2022,0
France,2023-01-01,Always validate your ticket !!!!,3.0,2023,0
France,2023-01-01,Superb,5.0,2023,2
France,2023-01-01,Pretty good for such a big city,5.0,2023,2
France,2022-12-01,Extremely rude employees-If you are a tourist be careful,1.0,2022,0
France,2022-11-01,"Ultimately, our trip was spoiled by such disgusting behaviour of Paris metro service employees. We thought we would shar",1.0,2022,0
France,2022-11-01,Scary!!,1.0,2022,0
France,2022-11-01,Speak As You Find,5.0,2022,2
France,2022-11-01,"Theft , pickpocket at Paris Metro",1.0,2022,0
France,2022-11-01,EFFICIENT SYSTEM BY AND LARGE,5.0,2022,2
France,2022-10-01,Taking time at the start will save you a lot of grief,3.0,2022,1
France,2022-10-01,Total BS 'official' scam - Paris should be ashamed,1.0,2022,0
France,2022-10-01,"Terrible customer service, useless for families with prams.",1.0,2022,0
France,2022-10-01,Metro a great way to get around,5.0,2022,2
France,2022-10-01,Terrible experience: I got a fine that I did not deserve,1.0,2022,0
France,2022-10-01,Horrible Extortion on the Paris Metro,1.0,2022,0
France,2022-10-01,Amazing Metro 🚇,5.0,2022,2
France,2022-10-01,"Horrible, rude Metro Ticket Checking Agent",1.0,2022,0
France,2022-10-01,TOURISTS BEWARE: they’ll fine you for nothing,1.0,2022,0
France,2022-09-01,Inherently errors in Metro ticketing produce more fines,1.0,2022,0
France,2022-10-01,CAUTION: AVOID Paris and it's Metro,1.0,2022,0
France,2022-10-01,Terrible and also horrible,1.0,2022,0
France,2022-10-01,"Stairs everywhere, dated & dirty",1.0,2022,0
France,2022-09-01,Poor experience with the metro,3.0,2022,0
France,2022-09-01,True story horror: Paris Metro,1.0,2022,2
France,2022-09-01,Metro official tourist scam,1.0,2022,0
France,2022-09-01,Stop taking advantage of tourists,1.0,2022,0
France,2022-08-01,Paris Metro Rocks,5.0,2022,2
France,2022-09-01,Nothing works,1.0,2022,2
France,2022-08-01,"So easy to use , recommend",5.0,2022,2
France,2022-08-01,AGGRESSIVE PICKPOCKETS ON METRO,1.0,2022,0
France,2022-08-01,Scammed out of 35 Euros,1.0,2022,0
France,2022-08-01,Very disappointed,1.0,2022,0
France,2022-07-01,tickets stop working,1.0,2022,0
France,2022-07-01,Metro fines,1.0,2022,0
France,2022-07-01,Sadly an disappointing and horrible experience,1.0,2022,0
France,2022-07-01,"Ticket Barriers are unreliable, but you will pay the price.",1.0,2022,0
France,2022-05-01,Beloved Public Transit,5.0,2022,2
France,2022-07-01,"Metro is ok, customer service is awful",1.0,2022,0
France,2022-06-01,Not good for older people,3.0,2022,1
France,2022-06-01,Paris Metro - SHAME of France and the French people,1.0,2022,0
France,2022-06-01,The multi-day pass is a scam!,1.0,2022,2
France,2022-06-01,A word of warning for families...,5.0,2022,2
France,2022-05-01,Great Means of Transportation,5.0,2022,2
France,2021-07-01,Not a safe way to travel.,5.0,2021,2
France,2022-05-01,Pickpocketed on the Paris Metro: BEWARE!,5.0,2022,0
France,2022-06-01,Paris metro SCAMMERS. Beware!,1.0,2022,2
France,2022-06-01,Bad experience with ticket control,3.0,2022,0
France,2022-05-01,Easy system to use,5.0,2022,2
France,2022-05-01,BEWARE OF SCAMMERS IN THE METRO - Paris Tourists,1.0,2022,0
France,2022-05-01,Efficient Metro System,5.0,2022,2
France,2022-05-01,Beware,1.0,2022,0
France,2021-12-01,It's a metro---but with a little personnality,5.0,2021,2
France,2022-04-01,Antiquated Process Without Common Sense !,1.0,2022,0
France,2022-03-01,Great way to get around,5.0,2022,2
France,2022-04-01,Horrible experience,1.0,2022,0
France,2022-03-01,Good metro,3.0,2022,2
France,2022-03-01,A good MTR.,3.0,2022,2
France,2022-02-01,One of the best,5.0,2022,2
France,2021-12-01,Great if it’s working,1.0,2021,2
France,2021-11-01,Unkind inspectors charging tourists,1.0,2021,0
France,2021-10-01,Most terrible experience ever in a metro,1.0,2021,0
France,2021-09-01,Be extremely careful . police at tourist exits looking for name/ picture attached. Charging Americans 35 Euro,1.0,2021,0
France,2021-09-01,Easily navigated and connected,5.0,2021,2
France,2021-09-01,"Not cheap, fast, many stations, incompetent staff, machines out of order.",1.0,2021,2
France,2021-07-01,"Fast Cheap Transit, But Not Accessible.",5.0,2021,2
France,2021-08-01,"Very good, but seriously lacking hand sanitizer points.",5.0,2021,1
France,2021-08-01,great way to get around Paris,5.0,2021,2
France,2021-08-01,Disappointing,1.0,2021,0
France,2021-07-01,Paris Métro Station Elevators and Escalators,5.0,2021,2
France,2021-06-01,Horrendous experience,1.0,2021,0
France,2020-06-01,I recommend it but be careful!,5.0,2020,2
France,2019-10-01,An experience,5.0,2019,0
France,2019-09-01,"Fast, affordable? not much accessible",5.0,2019,2
France,2020-08-01,Paris Metro,1.0,2020,2
France,2019-08-01,#1 Metro in world,5.0,2019,2
France,2019-11-01,I love the Paris metro,5.0,2019,2
France,2020-01-01,Amazing transport system....,5.0,2020,2
France,2019-04-01,HORRIBLE,1.0,2019,0
France,2020-02-01,Quick and easy,5.0,2020,2
France,2020-02-01,So many steps,5.0,2020,2
France,2019-12-01,on time,5.0,2019,2
France,2020-03-01,15 seconds arrival till departure - Masterrpiece in cooperation,5.0,2020,1
France,2020-03-01,Be very aware of your handbag on Metro,3.0,2020,2
France,2020-02-01,Beware the Fare Inspector,5.0,2020,0
France,2020-02-01,Terrible,1.0,2020,0
France,2020-02-01,Brilliant staff and organised train schedule,5.0,2020,2
France,2020-02-01,easy rides,5.0,2020,2
France,2020-02-01,PARIS TRAVEL TICKET,5.0,2020,2
France,2020-02-01,Metro scam tickets,1.0,2020,0
France,2020-01-01,Quickest and Easiest Way to Get Around At the Right Price,5.0,2020,2
France,2020-01-01,Good...if its works,3.0,2020,2
France,2019-12-01,Overall very good,5.0,2019,2
France,2019-10-01,Great,5.0,2019,2
France,2020-01-01,Paris Metro,1.0,2020,2
France,2019-10-01,Excellent Transportation,5.0,2019,2
France,2020-01-01,Terrible,1.0,2020,0
France,2019-12-01,metro not running,1.0,2019,2
France,2019-12-01,Strike,1.0,2019,0
France,2019-12-01,"Hell is not other people, it is the Paris Metro. Sartre got it wrong.",1.0,2019,0
France,2019-06-01,Wasn’t Expecting This!,1.0,2019,2
France,2019-12-01,Transit Strike made the Metro worthless,1.0,2019,0
France,2019-08-01,Alert: Budget travel...a paris metro pass!,5.0,2019,2
France,2019-12-01,The best way to move around Paris,5.0,2019,2
France,2019-10-01,Best underground transport system that I know,5.0,2019,2
France,2019-09-01,Low cost way to get around Paris....but beware of Pickpockets,5.0,2019,2
France,2019-08-01,So cheap and reliable - best way around Paris,5.0,2019,2
France,2019-12-01,Dirty rat hole with aggressive agents,1.0,2019,0
France,2019-11-01,Scam in the Service Office Metro,1.0,2019,0
France,2019-11-01,Low cost way to travel throughout Paris,5.0,2019,2
France,2019-11-01,ALERT - if you travel to Paris on a weekend be prepared for station closures!,3.0,2019,2
France,2019-11-01,Getting Around,5.0,2019,2
France,2019-11-01,Easy to use,5.0,2019,2
France,2019-09-01,Great value for money,5.0,2019,2
France,2019-11-01,The 2nd time we wre a target for thieves.,1.0,2019,0
France,2019-10-01,Paris Metro,5.0,2019,2
France,2019-09-01,Generally good with a few big negatives,5.0,2019,2
France,2019-11-01,Ótimo meio de transporte (Great means of transport),5.0,2019,2
France,2019-10-01,"Anywhere you want, as long as you don't mind stairs",5.0,2019,1
France,2019-10-01,Remember to get a picture to put on your Metro card!!!!!,5.0,2019,2
France,2019-10-01,Useful but not efficient,5.0,2019,2
France,2019-11-01,Paris bus,5.0,2019,2
France,2019-11-01,Easy to use,3.0,2019,2
France,2019-09-01,Metro to Versailles,3.0,2019,2
France,2019-10-01,Bad experience,3.0,2019,0
France,2019-04-01,"Very fast, good connections",5.0,2019,2
France,2019-10-01,Thieves industry!!!,1.0,2019,0
France,2019-09-01,Mixed,3.0,2019,1
France,2019-10-01,Take care of yourself in the Paris metro,1.0,2019,2
France,2019-10-01,THE PARIS WAY TO MOVE PEOPLE,5.0,2019,2
France,2019-10-01,UGH!,1.0,2019,0
France,2019-10-01,Late morning.,1.0,2019,0
France,2019-10-01,"Comfortable, Easy to navigate, Inexpensive and the trains run frequently",5.0,2019,2
France,2019-10-01,Practical Way to Get Around,5.0,2019,2
France,2019-10-01,Heads up on the Paris Metro subway trains,5.0,2019,2
France,2019-10-01,Useless help,1.0,2019,0
France,2019-10-01,"Great (and indispensible) mode of transportation, but be aware of malfunctioning turnstiles",5.0,2019,2
France,2019-09-01,"Fast connection, easy acces",5.0,2019,2
France,2019-09-01,Metro in Paris,3.0,2019,2
France,2019-09-01,The Paris Metro ...An independent way to Experience Paris,5.0,2019,2
