"Category","Passenger Car Traffic","Bus and Motor Coach Traffic","Total Van, Pickup, Lorry and Road Tractor Traffic","Total four wheeled Traffic"
"Austria",66310,495,12521,79326
"Belarus",29,380,885,1294
"Belgium",80076,614,20849,101540
"Bulgaria",,560,2739,3299
"Croatia",19905,320,2290,22515
"Denmark",40568,648,9358,50574
"Estonia",8876,238,1643,10757
"Finland",30740,431,7129,38300
"France",486589,3361,118675,608624
"Germany",642800,4600,88900,736300
"Hungary",30245,719,11415,42379
"Ireland",38039,361,9287,47687
"Latvia",10699,221,3008,13928
"Lithuania",9404,116,2604,12124
"Malta",2744,76,586,3406
"Moldova",569,336,707,1612
"Monaco",58,3,5,66
"Netherlands",108936,655,25119,134710
"North Macedonia",3619,92,902,4613
"Norway",35407,573,9304,45283
"Poland",194294,1725,37361,233380
"Portugal",,455,,
"Romania",42133,3137,9205,54475
"Russian Federation",,,21750,
"Serbia",,160,,
"Slovak Republic",,,4317,
"Slovenia",11606,100,2415,14120
"Spain",100303,835,24426,125564
"Sweden",68305,998,13923,83226
"Switzerland",58735,136,6634,65505
"Ukraine",,2017,6031,
"United Kingdom",415100,4100,111500,530700
