Country 1,Country 2,Traffic Column,Kruskal-Wallis Statistic,p-value
Ireland,Finland,Passenger Car Traffic,3.6923076923076934,0.054663935891675085
Ireland,France,Passenger Car Traffic,0.4102564102564159,0.5218393903336124
Ireland,France,"Total Van, Pickup, Lorry and Road Tractor Traffic",0.1025641025641093,0.7487740417065392
Ireland,Latvia,Passenger Car Traffic,1.6410256410256494,0.20018480417757442
Ireland,Latvia,"Total Van, Pickup, Lorry and Road Tractor Traffic",0.9230769230769269,0.336668367610035
Ireland,Lithuania,Passenger Car Traffic,0.9230769230769269,0.336668367610035
Ireland,Lithuania,"Total Van, Pickup, Lorry and Road Tractor Traffic",0.9230769230769269,0.336668367610035
Ireland,Malta,Passenger Car Traffic,1.6410256410256494,0.20018480417757442
Ireland,Netherlands,Passenger Car Traffic,2.564102564102569,0.10931457620866666
Ireland,Netherlands,"Total Van, Pickup, Lorry and Road Tractor Traffic",2.07692307692308,0.1495413545846107
Ireland,North Macedonia,Passenger Car Traffic,0.6410256410256494,0.42333964158244053
Ireland,North Macedonia,"Total Van, Pickup, Lorry and Road Tractor Traffic",3.6923076923076934,0.054663935891675085
Ireland,Norway,Passenger Car Traffic,0.9230769230769269,0.336668367610035
Ireland,Norway,"Total Van, Pickup, Lorry and Road Tractor Traffic",0.9230769230769269,0.336668367610035
Ireland,Poland,Bus and Motor Coach Traffic,1.6410256410256494,0.20018480417757442
Ireland,Romania,Passenger Car Traffic,0.9230769230769269,0.336668367610035
Ireland,Slovenia,Bus and Motor Coach Traffic,2.564102564102569,0.10931457620866666
Ireland,Spain,Passenger Car Traffic,0.9230769230769269,0.336668367610035
Ireland,Spain,Bus and Motor Coach Traffic,2.07692307692308,0.1495413545846107
Ireland,Spain,"Total Van, Pickup, Lorry and Road Tractor Traffic",0.6410256410256494,0.42333964158244053
Ireland,United Kingdom,Passenger Car Traffic,2.07692307692308,0.1495413545846107
Ireland,United Kingdom,Bus and Motor Coach Traffic,1.2564102564102626,0.2623316754083529
Ireland,United Kingdom,"Total Van, Pickup, Lorry and Road Tractor Traffic",2.07692307692308,0.1495413545846107
Ireland,Belgium,Passenger Car Traffic,0.02657004830918233,0.8705159028204001
Ireland,Belgium,"Total Van, Pickup, Lorry and Road Tractor Traffic",0.02657004830918233,0.8705159028204001
